mmmmmmmmmmmmmmmm



,adres,area-m2,date,owner,price,room,seller,title
0,/konut-satilik/balikesir-ayvalik-kucukkoy-emlakcidan-villa/detay/32270596,155,22.11.2018,Emlakçıdan,525.000,3+1,Kurumsal,ULAŞ EMLAK\u0027TAN BAHÇELİ HAVUZLU SIFIR 3+1 SÜPER LÜKS VİLLA
1,/konut-satilik/balikesir-edremit-gure-emlakcidan-villa/detay/32307751,140,22.11.2018,Emlakçıdan,550.000,3+1,Kurumsal,GÜRE SSK MEVKİNDE SATILIK 3+1 LÜKS VİLLA DENİZE 300 METRE
2,https://www.hurriyetemlak.com/projeler/kaplanlar-insaat/sena-life?utm_source=hurriyet_emlak&utm_medium=he_newsearch&utm_content=flat-plan-id-4713&utm_campaign=sena-life,75,12.11.2018,İnşaat Firmasından,280.000,2+1,Projeland,Sena Life
3,/konut-satilik/sakarya-sapanca-tepebasi-emlakcidan-villa/detay/32274870,225,22.11.2018,Emlakçıdan,1.620.000,6+1,Kurumsal,"SAPANCA\u0027DA MÜSTAKİL HAVUZLU, GENİŞ BAHÇELİ, GÖL MANZARALI VİLLA"
4,/konut-satilik/duzce-akcakoca-osmaniye-emlakcidan-villa/detay/32277661,255,22.11.2018,Emlakçıdan,750.000,5+2,Kurumsal,AKÇAKOCA DA SATILIK LÜKS 5+2 VİLLA
5,/konut-satilik/sakarya-sapanca-tepebasi-emlakcidan-villa/detay/32275113,265,22.11.2018,Emlakçıdan,2.200.000,7+1,Kurumsal,"\u0027\u0027 GÖL MANZARALI, MÜSTAKİL BAHÇELİ-HAVUZLU \u0027\u00277+1 SATILIK VİLLA"
6,/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-villa/detay/31806940,190,22.11.2018,Emlakçıdan,650.000,4+1,Kurumsal,ALTINOLUK SATILIK GARAJLI 4+1 LÜKS VİLLALAR- DENİZE 300 METRE
7,https://www.hurriyetemlak.com/projeler/kaplanlar-insaat/sena-life?utm_source=hurriyet_emlak&utm_medium=he_newsearch&utm_content=flat-plan-id-4713&utm_campaign=sena-life,90,12.11.2018,İnşaat Firmasından,320.000,3+1,Projeland,Sena Life
8,/konut-satilik/istanbul-sariyer-zekeriyakoy-emlakcidan-villa/detay/32273492,500,22.11.2018,Emlakçıdan,5.350.000,6+2,Kurumsal,NOKTA\u0027DAN ZEKERİYAKÖY\u0027DE ELİT SİTEDE ÖZEL HAVUZLU TAM MÜSTAKİL
9,/konut-satilik/izmir-cigli-sasalli-merkez-emlakcidan-villa/detay/32064789,500,22.11.2018,Emlakçıdan,2.850.000,6+1,Kurumsal," Sasalı Yelken Konakların da 6+1, 500m2  Satılık Lüks Villa"
